,lien, Marque , Modèle , Mise en circulation , Energie , Boite vitesse , kilométrage, Puissance fiscal, Etat du véhicule ,date annonce,Prix
99,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2011-renault-megane-bva-toit-ouvrant-18047,Renault,Megane,09-2011,Essence,Manuelle,167000 Km,9 CV,Excellent,17 Mai 2020,29000
100,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2013-citroen-c-elysee-1ere-main-18040,Citroen,C Elysée,10-2013,Essence,Manuelle,96000 Km,5 CV,Excellent,17 Mai 2020,23500
101,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2000-toyota-land-cruiser-prado-8places-17969,Toyota,Prado,01-2010,Diesel,Manuelle,393000 Km,12 CV,Excellent,16 Mai 2020,44000
102,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2018-nissan-micra-18039,Nissan,Micra,07-2018,Essence,Manuelle,41000 Km,5 CV,Excellent,15 Mai 2020,31000
103,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2015-volkswagen-golf-7-smartline-1ere-main-18038,Volkswagen,Golf 7,03-2015,Essence,Manuelle,90000 Km,5 CV,Excellent,15 Mai 2020,52000
104,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2014-nissan-juke-17991,Nissan,Juke,07-2014,Essence,Manuelle,84000 Km,7 CV,Excellent,15 Mai 2020,37500
105,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2015-toyota-avanza-7places-17989,Toyota,Avanza,12-2015,Essence,Manuelle,94000 Km,6 CV,Excellent,15 Mai 2020,31500
106,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2015-fiat-500l-toit-pano-1ere-main-17988,Fiat,500,10-2015,Essence,Manuelle,58000 Km,6 CV,Excellent,15 Mai 2020,47000
107,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2016-honda-city-1ere-main-18028,Honda,civic,12-2016,Essence,Manuelle,117000 Km,7 CV,Excellent,15 Mai 2020,36000
108,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2016-hyundai-grand-i10-sedan-17982,Hyundai,Grand i10,04-2016,Essence,Manuelle,124000 Km,5 CV,Excellent,15 Mai 2020,26000
109,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2016-peugeot-bipper-5places-17981,Peugeot,Bipper Tepee,12-2016,Diesel,Manuelle,82000 Km,4 CV,Excellent,15 Mai 2020,36000
110,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2009-peugeot-partner-5places-17935,Peugeot,Partner ,05-2009,Essence,Manuelle,147000 Km,6 CV,Excellent,15 Mai 2020,27900
111,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2006-volkswagen-passat-17742,Volkswagen,Passat,12-2006,Essence,Manuelle,205000 Km,7 CV,Excellent,15 Mai 2020,25500
112,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2012-volkswagen-caddy-17951,Volkswagen,Caddy,05-2012,Diesel,Manuelle,245000 Km,7 CV,Excellent,15 Mai 2020,19500
113,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2011-land-rover-freelander-2-bva-toit-pano-17772,Land-Rover,Freelander,04-2011,Diesel,Automatique,121000 Km,11 CV,Excellent,15 Mai 2020,78000
114,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/tap857-fiat-fiorino-1ere-main-17467,Fiat,Fiorino Qubo,03-2017,Diesel,Manuelle,160000 Km,5 CV,Excellent,15 Mai 2020,25500
115,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2015-ssangyong-tivoli-17968,Ssangyong ,Actyon,11-2015,Diesel,Manuelle,115000 Km,7 CV,Excellent,15 Mai 2020,52000
116,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2015-ford-ka-titanium-toit-pano-1ere-main-17967,Ford,KA,02-2015,Essence,Manuelle,28000 Km,4 CV,Excellent,15 Mai 2020,28500
117,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2006-audi-a4-tdi-17964,Audi,A4,04-2006,Diesel,Manuelle,302000 Km,7 CV,Excellent,15 Mai 2020,31500
118,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2014-nissan-qashqai-tekna-bva-17756,Nissan,Qashqai,12-2014,Essence,Automatique,86000 Km,6 CV,Excellent,15 Mai 2020,75000
119,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2012-volkswagen-amarok-1ere-main-17759,Volkswagen,Amarok,11-2012,Diesel,Manuelle,295000 Km,7 CV,Excellent,15 Mai 2020,49900
120,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2014-nissan-juke-17897,Nissan,Juke,07-2014,Essence,Manuelle,84000 Km,7 CV,Excellent,15 Mai 2020,37500
121,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2017-hyundai-grand-i10-bva-17765,Hyundai,Grand i10,07-2017,Essence,Automatique,54000 Km,5 CV,Excellent,15 Mai 2020,36500
122,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2010-mercedes-e220-cdi-amg-bva-toit-pano-17737,Mercedes,Classe E,12-2010,Diesel,Automatique,195000 Km,10 CV,Excellent,15 Mai 2020,79900
123,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2011-dacia-duster-18004,Dacia,Duster,01-2011,Diesel,Manuelle,157000 Km,6 CV,Excellent,15 Mai 2020,38000
124,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2017-dfsk-k01-dlx-17732,Peugeot,Partner ,02-2017,Essence,Manuelle,50000 Km,7 CV,Excellent,15 Mai 2020,18500
125,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2013-audi-a4-bva-17947,Audi,A4,06-2014,Essence,Automatique,201000 Km,7 CV,Excellent,15 Mai 2020,53000
126,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2009-mercedes-e220-cdi-bva-toit-pano-17730,Mercedes,Classe E,06-2009,Diesel,Automatique,261000 Km,10 CV,Excellent,15 Mai 2020,68900
127,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2014-toyota-yaris-sedan-17719,Toyota,Yaris,06-2014,Essence,Manuelle,83000 Km,5 CV,Excellent,15 Mai 2020,30000
128,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2016-peugeot-bipper-1ere-main-17718,Peugeot,Bipper Tepee,01-2016,Diesel,Manuelle,173000 Km,6 CV,Excellent,15 Mai 2020,22900
129,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2018-volkswagen-amarok-bva-highline-plus-1ere-main-17674,Volkswagen,Amarok,02-2018,Diesel,Automatique,15000 Km,7 CV,Excellent,15 Mai 2020,147000
